title,duration,rating,price
Курс «Angular» от Skillbox,"
  Длительность: 
 3 месяца
","
8.8
",33 350 ₽ 26 680 ₽
Профессия «Программист Android» от GeekBrains,"
  Длительность: 
 7 месяцев
","
8.8
",124 500 ₽ 80 925 ₽
Курс «Java. Уровень 1» от GeekBrains,"
  Длительность: 
 1 месяц
","
8.8
",15 000 ₽
Курс «Веб-разработка» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",53 600 ₽ 14 900 ₽
Курс «Разработчик C# + .NET» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",79 600 ₽ 71 600 ₽
Курс «Java-разработчик» от Nordic IT,"
  Длительность: 
 6 месяцев
","
8.8
",95 400 ₽ 66 600 ₽
Курс «Android-разработка на Kotlin» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",63 600 ₽ 57 200 ₽
Курс «Golang-разработчик» от Nordic IT,"
  Длительность: 
 4 месяца
","
8.8
",71 600 ₽ 64 400 ₽
Курс «Веб-разработка для начинающих» от Loftschool,"
  Длительность: 
 2 месяца
","
8.8
",36 696 ₽ 21 996 ₽
Курс «Основы Java с 0» от ProductStar,"
  Длительность: 
 2 месяца
","
8.8
",55 000 ₽ 34 900 ₽
Курс «Архитектор информационных систем» от GeekBrains,"
  Длительность: 
 6 месяцев
","
8.8
",174 500 ₽ 113 425 ₽
Курс «1С-программист» от Нетологии,"
  Длительность: 
 9 месяцев
","
8.8
",150 000 ₽ 90 000 ₽
Курс «Автоматизированное тестирование на Java» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.7
",79 925 ₽ 67 936 ₽
Курс «C++ разработчик» от SkillFactory,"
  Длительность: 
 12 месяцев
","
8.7
",128 124 ₽ 89 604 ₽
Профессия «iOS-разработчик» от MDA,"
  Длительность: 
 12 месяцев
","
8.7
",69 900 ₽
Курс «Docker» от Слёрм,"
  Длительность: 
 1 месяц
","
8.7
",20 000 ₽ 10 000 ₽
Курс «Архитектор высоких нагрузок» от OTUS,"
  Длительность: 
 5 месяцев
","
8.7
",80 000 ₽
Профессия «Разработчик игр на Unreal Engine 4» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.6
",245 218 ₽ 147 131 ₽
Курс «Администрирование ОС Linux» от Skillbox,"
  Длительность: 
 5 месяцев
","
8.6
",104 650 ₽ 73 255 ₽
Курс «Kubernetes комплект База+Мега» от Слёрм,"
  Длительность: 
 2 месяца
","
8.6
",90 000 ₽ 75 000 ₽
Курс «Fullstack-разработчик на Python» от Нетологии,"
  Длительность: 
 6 месяцев
","
8.6
",265 000 ₽ 159 000 ₽
Профессия «Разработчик игр на Unity с нуля» от Skillbox,"
  Длительность: 
 11 месяцев
","
8.6
",117 264 ₽ 82 085 ₽
Курс «Системный администратор» от GeekBrains,"
  Длительность: 
 7 месяцев
","
8.6
",99 500 ₽
Профессия «Fullstack-разработчик на Python» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.5
",225 745 ₽ 146 734 ₽
Профессия «Data Scientist» от Нетологии,"
  Длительность: 
 12 месяцев
","
8.5
",216 500 ₽ 129 900 ₽
Курс «Глубокое обучение» от Нетологии,"
  Длительность: 
 4 месяца
","
8.5
",45 000 ₽ 31 500 ₽
Профессия «Разработчик игр на Unity» от Skillbox,"
  Длительность: 
 12 месяцев
","
8.5
",254 840 ₽ 152 904 ₽
Курс «Python» от HEDU,"
  Длительность: 
 1 месяц
","
8.5
",32 000 ₽
